,Brand,Title,Name,Price,Rating,URL,Description,Clean_Text
0,NB NICKY BOY,"Pack of 2 Men Printed Hooded Neck Black, Light Green T-Shirt","NB NICKY BOY Printed Men Hooded Neck Black, Light Green T-Shirt",414.0,4.0,https://www.flipkart.com/nb-nicky-boy-printed-men-hooded-neck-black-light-green-t-shirt/p/itm345925c05d5c5,"NB NICKY BOY Printed Men Hooded Neck Black, Light Green T-Shirt Pack of 2 Men Printed Hooded Neck Black, Light Green T-Shirt",hood neck light print green pack nb boy black men tshirt nicki
1,NB NICKY BOY,Nikky Men Printed Round Neck Black T-Shirt,NB NICKY BOY Printed Men Round Neck Black T-Shirt,239.0,3.9,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21,NB NICKY BOY Printed Men Round Neck Black T-Shirt Nikky Men Printed Round Neck Black T-Shirt,neck print round nb nikki boy black men tshirt nicki
2,3BROS,Men Solid Polo Neck Green T-Shirt,3BROS Solid Men Polo Neck Green T-Shirt,309.0,4.1,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12,3BROS Solid Men Polo Neck Green T-Shirt Men Solid Polo Neck Green T-Shirt,polo solid neck green men tshirt
3,BLIVE,"Pack of 2 Men Striped Round Neck Dark Blue, Red T-Shirt","BLIVE Striped Men Round Neck Dark Blue, Red T-Shirt",299.0,3.8,https://www.flipkart.com/blive-striped-men-round-neck-dark-blue-red-t-shirt/p/itm481c77db8af7a,"BLIVE Striped Men Round Neck Dark Blue, Red T-Shirt Pack of 2 Men Striped Round Neck Dark Blue, Red T-Shirt",neck red pack round blue stripe blive men tshirt dark
4,NB NICKY BOY,Men Printed Round Neck Light Blue T-Shirt,NB NICKY BOY Printed Men Round Neck Light Blue T-Shirt,239.0,3.7,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-light-blue-t-shirt/p/itm0f2494eef7d30,NB NICKY BOY Printed Men Round Neck Light Blue T-Shirt Men Printed Round Neck Light Blue T-Shirt,neck light print round nb blue boy men tshirt nicki
5,Smartees,Men Printed Round Neck Dark Blue T-Shirt,Smartees Printed Men Round Neck Dark Blue T-Shirt,189.0,3.9,https://www.flipkart.com/smartees-printed-men-round-neck-dark-blue-t-shirt/p/itm136544d1e2c82,Smartees Printed Men Round Neck Dark Blue T-Shirt Men Printed Round Neck Dark Blue T-Shirt,neck print round blue smartshirt men tshirt dark
6,Smartees,Men Typography Round Neck Black T-Shirt,Smartees Typography Men Round Neck Black T-Shirt,179.0,3.9,https://www.flipkart.com/smartees-typography-men-round-neck-black-t-shirt/p/itm40efb6c53e1e9,Smartees Typography Men Round Neck Black T-Shirt Men Typography Round Neck Black T-Shirt,neck round typographi smartshirt black men tshirt
7,NB NICKY BOY,Men Typography Round Neck Light Green T-Shirt,NB NICKY BOY Typography Men Round Neck Light Green T-Shirt,239.0,4.0,https://www.flipkart.com/nb-nicky-boy-typography-men-round-neck-light-green-t-shirt/p/itm775c5a6cd5941,NB NICKY BOY Typography Men Round Neck Light Green T-Shirt Men Typography Round Neck Light Green T-Shirt,neck light green round nb typographi boy men tshirt nicki
8,NB NICKY BOY,Men Printed Round Neck Black T-Shirt,NB NICKY BOY Printed Men Round Neck Black T-Shirt,239.0,3.7,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm7bf6a3c83e4fb,NB NICKY BOY Printed Men Round Neck Black T-Shirt Men Printed Round Neck Black T-Shirt,neck print round nb boy black men tshirt nicki
9,FARBOT,Men Color Block Round Neck Black T-Shirt,FARBOT Color Block Men Round Neck Black T-Shirt,189.0,4.0,https://www.flipkart.com/farbot-color-block-men-round-neck-black-t-shirt/p/itme72f0ce32fb00,FARBOT Color Block Men Round Neck Black T-Shirt Men Color Block Round Neck Black T-Shirt,farbot neck round color black men block tshirt
10,NB NICKY BOY,Men Printed Round Neck Black T-Shirt,NB NICKY BOY Printed Men Round Neck Black T-Shirt,249.0,3.9,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm788e62e740c90,NB NICKY BOY Printed Men Round Neck Black T-Shirt Men Printed Round Neck Black T-Shirt,neck print round nb boy black men tshirt nicki
11,STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,STONEBERG Men Solid Formal Grey Shirt,368.0,4.0,https://www.flipkart.com/stoneberg-men-solid-formal-grey-shirt/p/itmb114af1143ed6,STONEBERG Men Solid Formal Grey Shirt Men Slim Fit Solid Spread Collar Formal Shirt,solid spread collar slim fit grey formal stoneberg men shirt
12,VeBNoR,Men Printed Round Neck Blue T-Shirt,VeBNoR Printed Men Round Neck Blue T-Shirt,269.0,4.2,https://www.flipkart.com/vebnor-printed-men-round-neck-blue-t-shirt/p/itm0795b0a837288,VeBNoR Printed Men Round Neck Blue T-Shirt Men Printed Round Neck Blue T-Shirt,neck print round vebnor blue men tshirt
13,BLIVE,Pack of 2 Men Striped Round Neck Multicolor T-Shirt,BLIVE Striped Men Round Neck Multicolor T-Shirt,299.0,3.8,https://www.flipkart.com/blive-striped-men-round-neck-multicolor-t-shirt/p/itm84eae45cb1774,BLIVE Striped Men Round Neck Multicolor T-Shirt Pack of 2 Men Striped Round Neck Multicolor T-Shirt,neck pack round stripe blive multicolor men tshirt
14,BLIVE,Men Printed Round Neck Yellow T-Shirt,BLIVE Printed Men Round Neck Yellow T-Shirt,199.0,3.7,https://www.flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354,BLIVE Printed Men Round Neck Yellow T-Shirt Men Printed Round Neck Yellow T-Shirt,neck print round blive men yellow tshirt
15,NB NICKY BOY,Men Printed Round Neck Grey T-Shirt,NB NICKY BOY Printed Men Round Neck Grey T-Shirt,239.0,3.9,https://www.flipkart.com/nb-nicky-boy-printed-typography-men-round-neck-grey-t-shirt/p/itm27d93351e935e,NB NICKY BOY Printed Men Round Neck Grey T-Shirt Men Printed Round Neck Grey T-Shirt,neck print round nb grey boy men tshirt nicki
